Description,Type
"coca","drinks"
"fbm","food"
"water","water"
"dinner","food"
"lunch(bread)","food"
"rs0","alcohol"
"lunch(fbm)","food"
"ice","snack"
"rs0","alcohol"
"phillips-screwdriver","maintenance"
"dinner","food"
"dinner","food"
"coca","drinks"
"Monster","drinks"
"ice","snack"
"ice","snack"
"rs0","alcohol"
"coffee","drinks"
"luckycoffeecouponx4","drinks"
"caramelmacchiato","drinks"
"rent","daily"
"rs0","alcohol"
"er-guo-tou","alcohol"
"bus","transportation"
"fbm","food"
"guazi","snack"
"latiao","snack"
"ice","snack"
"typectousba","electronic"
"dish-soap","daily"
"toothpaste(x4)","daily"
"ugreenmagsafe","electronic"
"blood-test","med"
"hospital-registration","med"
"bus","transportation"
"bus","transportation"
"coffee","drinks"
"rs0","alcohol"
"rs0","alcohol"
"lunch","food"
"dinner(szb)","food"
"ice","snack"
"rs","alcohol"
"snack","snack"
"monster","drinks"
"coca","drinks"
"ice","snack"
"fbm","food"
"neteasemusic_vip","entertainment"
"coffee","drinks"
"dinner(congee)","food"
"late-night-snack","food"
"rs0","alcohol"
"rs0","alcohol"
"fbm","food"
"rewordpoints","others"
"eggfriednoodles","food"
"ice","snack"
"beer","alcohol"
"rs0","alcohol"
"potatochips","snack"
"fried-chicken","food"
"jiaozi","food"
"ice","snack"
"egggranbing","food"
"hxegt","alcohol"
"metro","transportation"
"hxegt","alcohol"
"fried-chicken","food"
"hxegt","alcohol"
"coca","drinks"
"hxegt","alcohol"
"coca","drinks"
"monster","drinks"
"hxegt","alcohol"
"hxegt","alcohol"
"Potatochips.","snack"
"ice","snack"
"fbm","food"
"rs0.","alcohol"
"rs","alcohol"
"bus","transportation"
"friedchicken","snack"
"washteeth","med"
"bus","transportation"
"fbm","food"
"used-magsafe","electronic"
"friedchicken","snack"
"sharedbike","transportation"
"sharedbike","transportation"
"egt","alcohol"
"egt","alcohol"
"egt","alcohol"
"fbm","food"
"egt","alcohol"
"rentbill","daily"
"bus","transportation"
"mantoux18","food"
"ziplocbag","daily"
"酱油","food"
"garbagebag","daily"
"馒头x17","food"
"phonebill","daily"
"鸡蛋煎饼","food"
"bus","transportation"
"bus","transportation"
"灌饼","food"
"包子","food"
"卫衣","daily"
"elecbill","daily"
"二锅头","alcohol"
"二锅头","alcohol"
"egt","alcohol"
"bus","transportation"
"lunch","food"
"Friedchicken","food"
"美团Coupon","others"
"lunch","food"
"雪sprite300ml","drinks"
"dinner","food"
"bus","transportation"
"bus","transportation"
"dinner","food"
"mono","daily"
"bus","transportation"
"egt","alcohol"
"bus","transportation"
"bus","transportation"
"coca","drinks"
"spirit","drinks"
"launch","food"
"ice","snack"
"monster","drinks"
"dinner","food"
"灌饼","food"
"炸鸡","food"
"二锅头","alcohol"
"二锅头","alcohol"
"bus","transportation"
"applemusic","entertainment"
"bus","transportation"
"ddr5_sunsang","electronic"
"美团单车套餐","daily"
"bus","transportation"
"bus",""
"二锅头",""
"bus","transportation"
"二锅头","alcohol"
"bus","transportation"
"rentbill","daily"
"炸鸡","snack"
"粥","food"
"coca","drinks"
"灌饼","food"
"粥","food"
"coca","drinks"
"dinner","food"
"mono","daily"
"二锅头","alcohol"
"燃气费","daily"
"bus","transportation"
"bus","transportation"
"二锅头","alcohol"
"bus","transportation"
"二锅头","alcohol"
"bus","transportation"
"bus","transportation"
"bus","transportation"
"bus","transportation"
"二锅头","alcohol"
"coca","drinks"
"chips","snack"
"launch","food"
"chips","snack"
"烤冷面","food"
"方便面","food"
"sandwich","food"
"辣条","snack"
"coca","drinks"
"monster","drinks"
"ice","snack"
"西瓜书，机器学习","others"
"bus","transportation"
"bus","transportation"
"二锅头","alcohol"
"launch","food"
"bus","transportation"
"bus","transportation"
"bus","transportation"
"二锅头","alcohol"
"bus","transportation"
"elecbill","daily"
"bus","transportation"
"bus","transportation"
"粥","food"
"coca","drinks"
"launch","food"
"coca","drinks"
"chips","snack"
"辣条","snack"
"chips","snack"
"二锅头","alcohol"
"灌饼","food"
"launch","food"
"灌饼","food"
"","food"
"kfc","snack"
